BasedOn.Code,CanRamp,ConfigureDuringSale,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.UnitCode
BULLS-PC-TICKET,false,Allowed,Annual subscription to all 82 Chicago Bulls home and away games. Includes VIP benefits and priority playoff access.,,Season Tickets,true,true,false,Full Season Ticket (82 Games),BULLS-ST-FULL,,,BULLS-ST-FULL,,
BULLS-PC-TICKET,false,Allowed,Flexible 20-game season plan with choice of premier matchups. Includes member benefits and arena discounts.,,Season Tickets,true,true,false,20-Game Plan,BULLS-ST-20,,,BULLS-ST-20,,
BULLS-PC-TICKET,false,Allowed,"10-game themed ticket plan — choose from All-Star, Weekender, or Weeknight packages.",,Season Tickets,true,true,false,10-Game Plan,BULLS-ST-10,,,BULLS-ST-10,,
,false,,"Monthly Bulls Pro Digital Membership with premium app access, exclusive content, and early ticket presales.",,Digital,true,false,false,Bulls Pro Digital Membership,BULLS-MBR-PRO,,,BULLS-MBR-PRO,,
,false,,Monthly youth elite training program at the United Center with Bulls coaching staff.,,Youth Programs,true,false,false,Youth Elite Training Program,BULLS-YTH-ELITE,,,BULLS-YTH-ELITE,,
BULLS-PC-SUITE,false,Allowed,"All-inclusive lower level suite rental including 20 tickets, 4 parking passes, open bar, and catering.",,Premium Seating,true,true,false,Lower Level Suite Rental,BULLS-SUITE-LOWER,,,BULLS-SUITE-LOWER,,
BULLS-PC-SUITE,false,Allowed,"All-inclusive club level suite rental directly above the 200 level with excellent sightlines, 20 tickets, open bar, and catering.",,Premium Seating,true,true,false,Club Level Suite Rental,BULLS-SUITE-CLUB,,,BULLS-SUITE-CLUB,,
,false,,High-five players and coaches as they enter the arena through the players tunnel before tipoff.,,Fan Experiences,true,false,false,Tunnel Experience,BULLS-EXP-TUNNEL,,,BULLS-EXP-TUNNEL,,
,false,,Stand on the court alongside the players during the National Anthem before tip-off.,,Fan Experiences,true,false,false,Anthem Buddies,BULLS-EXP-ANTHEM,,,BULLS-EXP-ANTHEM,,
,false,,Watch Bulls warm-ups from the lower level and experience the energy of the court before the game.,,Fan Experiences,true,false,false,Benchwarmers Warm-Up Access,BULLS-EXP-BENCH,,,BULLS-EXP-BENCH,,
,false,,One session of the BMO-presented Youth Hoops Summer Camp at the United Center.,,Youth Programs,true,false,false,Youth Hoops Summer Camp,BULLS-CAMP-SUMMER,,,BULLS-CAMP-SUMMER,,
,false,,"Family fun pack including a game ticket, hot dog, chips, and drink — the perfect family outing.",,Season Tickets,true,false,false,Family Fun Pack,BULLS-FAM-PACK,,,BULLS-FAM-PACK,,
BULLS-PC-SUITE,false,Allowed,All-inclusive corporate hospitality bundle: club level suite rental plus optional tunnel and anthem buddy experiences.,,Premium Seating,true,true,false,Corporate Hospitality Package,BULLS-CORP-PKG,,,BULLS-CORP-PKG,Bundle,
