Name,StockKeepingUnit
Intel Xeon E5-2609 v4 1.7GHz,QB-INTEL E5-2609
PowerSwerve R750 Rack Server,QB-BDL-R750
QuantumBit Subscription,TEST-SUB
16GB RDIMM,QB-MEM 16GB
8TB 7.2k RPM NLSAS,QB-HD 8TB
8TB 7.2k RPM Self-Encrypting NLSAS,QB-HD 8TBSE
Intel X710 Dual Port 10Gb SFP,QB-BET X710SFP
QuantumBit Services Project,QB-BDL-SRVC
Configured Power Cable,QB-CMPC-5882
QuantumBit Collaboration Suite,QB-CS
QuantumBit Database,QB-DB
Software Maintenance,QB-SUPP-2000
QB API Management Solution,QB-API-MGMT
Additional Flows - QB Starter,QB-FLO-STRT
Additional Messages - QB Starter,QB-MSG-STRT
Additional Data Throughput,QB-DAT-THPT
Program Director,QB-SRV-PD
Solutions Architect,QB-SRV-SAT
Project Manager,QB-SRV-PMN
Implementation Engineer,QB-SRV-IMP
Integration Specialist Engineer,QB-SRV-ISE
Module Extension Engineer,QB-SRV-MEE
Quality Assurance Engineer,QB-SRV-QAE
Data Normalization Expert,QB-SRV-DNE
Provisioning and Activation Service,QB-AEH-CPU
Order Processing,QB-AEH-OR
Finance Service,QB-AEH-BILL
QB Platform - QuantumBit Complete Solution,QB-DRO-COMPLETE
QB Platform - Additional API,QB-DRO-API
QB Platform - API Access Requests (AEH),QB-DRO-API-REQT
AEH Object Store - Restricted Use,QB-AEH-OBJ
AEH Environment Runtime,QB-AEH-ENV
Cloud License (Monthly),QB-LIC-CLOUD
QB Platform - QuantumBit Services Project,QB-DRO-BDL-SRVC
QB Platform - QuantumBit Rack Enclosure,QB-DRO-BDL-RAXS
QuantumBit Rack Enclosure,QB-BDL-RAXS
QB Platform - QuantumBit Starter,QB-DRO-BDL-STND
QB Platform - QuantumBit Enterprise,QB-DRO-BDL-ENTR
QB Platform - QuantumBit Business Critical,QB-DRO-BDL-CRTL
QB Platform - PowerSwerve R750 Rack Server,QB-DRO-BDL-R750
QB Platform - QuantumBit Collaboration Suite,QB-DRO-CS
QB Platform - Additional API Pre-Prod,QB-DRO-API-PREP
QB Platform - Additional API Gov,QB-DRO-API-GOVT
QB Platform - Additional API Flex (100M),QB-DRO-API-FLEX
QB Platform - Additional Flows - QB Starter,QB-DRO-FLO-STRT
QB Platform - Additional Messages - QB Starter,QB-DRO-MSG-STRT
QB Platform - Additional Data Throughput,QB-DRO-DAT-THPT
QB Platform - Finance Service,QB-DRO-BILL
QB Platform - Order Processing,QB-DRO-OR
QB Platform - Additional QB DataGraph (500M),QB-DRO-DAT-GRPH
QB Platform - Additional Automation QB Credits,QB-DRO-AUT-CRED
QB Platform - Additional API Prod,QB-DRO-API-PROD
QB Platform - QuantumBit Subscription,QB-DRO-TEST-SUB
QB Platform - AEH Object Store - Restricted Use,QB-DRO-AEH-OBJ
QB Platform - AEH Environment Runtime,QB-DRO-AEH-ENV
QB Platform - Provisioning and Activation Service,QB-DRO-PROV
QB Platform - Additional Flows - QB Enterprise,QB-DRO-FLO-ENTR
Additional Flows - QB Enterprise,QB-FLO-ENTR
QB Platform - Additional Messages - QB Enterprise,QB-DRO-MSG-ENTR
Additional Messages - QB Enterprise,QB-MSG-ENTR
Installation and Assembly,QB-INST-1000
Professional Service Hours (Consumption),QB-SRV-OG-PSHC
Red Hat Enterprise Linux,QB-REDHAT
vSphere Desktop,QB-VMW-D
"Rack PDU 20A, 120V L5-20",QB-PDU-2022
Blanking Panel,QB-BSSA-4298
Sliding Shelf 200lbs,QB-BSSA-4300
Fixed Shelf 250lbs,QB-BSSA-4302
Roof Fan Tray 750mm - 120V,QB-BSSA-4306
Roof Fan Tray 750mm - 208V,QB-BSSA-4308
Quick Start Enablement,QB-SRV-QSE
Professional Services - Associate Consultant Daily Rate,QB-SRV-OG-AC-PSH
"QuantumBit Advisory Services, CSM Premium",QB-SRV-AS
Standard Success Plan,QB-STD-SP
Professional Services - Project Management Daily Rate,QB-SRV-OG-PM-PSH
Premium Success Plan,QB-SRV-PRM-SP
TX 600mm/750mm Stabilizer Plate,QB-BSSA-4303
TX Bolt-Down Kit,QB-BSSA-4304
"Rack PDU 30A, 120V L5-20",QB-PDU-2023
"Rack PDU 15A, 120V L5-20",QB-PDU-2024
"Rack PDU 20A, 230V C20 input C1",QB-PDU-2025
"Rack PDU 10A, 230V C20 input C19",QB-PDU-2026
"Rack PDU 16A, 230V, C13 output",QB-PDU-2027
"Rack PDU 14.4kW, 208V, C13 output",QB-PDU-2028
"Rack PDU 5.7W, 208V, C13 output",QB-PDU-2029
No Operating System,QB-NO-OSYS
