$$UsageDefinitionProduct.StockKeepingUnit$UnitOfMeasureClass.Code$UnitOfMeasure.UnitCode$ProductUsageResource.Product.StockKeepingUnit$ProductUsageResource.UsageResource.Code,DrawdownOrder,EffectiveEndDate,EffectiveStartDate,Label,OverageChargeable,ProductUsageResource.$$Product.StockKeepingUnit$UsageResource.Code,ProductUsageResource.Product.StockKeepingUnit,ProductUsageResource.UsageResource.Code,Quantity,RenewalPolicy.Code,RolloverPolicy.Code,Status,Type,UnitOfMeasure.UnitCode,UnitOfMeasureClass.Code,UsageDefinitionProduct.StockKeepingUnit,ValidityPeriodTerm,ValidityPeriodUnit
QB-CPU-BLNG;TIME;m;QB-DB;UR-CPUTIME,ExpiringFirst,,2023-01-01T20:00:00.000+0000,,Yes,QB-DB;UR-CPUTIME,QB-DB,UR-CPUTIME,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Grant,m,TIME,QB-CPU-BLNG,1,Month
QB-CPU-BLNG;TIME;m;QB-DB-TOKEN;UR-CPUTIME,ExpiringFirst,,2025-01-01T20:00:00.000+0000,QuantumDB - Compute Time PUG,Yes,QB-DB-TOKEN;UR-CPUTIME,QB-DB-TOKEN,UR-CPUTIME,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Grant,m,TIME,QB-CPU-BLNG,1,Month
QB-CPU-BLNG;TIME;m;QB-CMT-TKN-TIER;UR-CPUTIME,ExpiringFirst,,2025-01-01T20:00:00.000+0000,QB-CT-COMMIT-PUG,Yes,QB-CMT-TKN-TIER;UR-CPUTIME,QB-CMT-TKN-TIER,UR-CPUTIME,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Grant,m,TIME,QB-CPU-BLNG,1,Month
QB-CPU-BLNG;TIME;m;QB-CMT-TKN-FLAT;UR-CPUTIME,ExpiringFirst,,2025-01-01T20:00:00.000+0000,QB-CT-COMMIT-PUG,Yes,QB-CMT-TKN-FLAT;UR-CPUTIME,QB-CMT-TKN-FLAT,UR-CPUTIME,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Grant,m,TIME,QB-CPU-BLNG,1,Month
QB-CPU-BLNG;TIME;m;QB-CMT-TKN-EACH;UR-CPUTIME,ExpiringFirst,,2025-01-01T20:00:00.000+0000,QB-CT-COMMIT-PUG,Yes,QB-CMT-TKN-EACH;UR-CPUTIME,QB-CMT-TKN-EACH,UR-CPUTIME,10,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Grant,m,TIME,QB-CPU-BLNG,1,Month
QB-CPU-BLNG;TIME;m;QB-QTY-CMT;UR-CPUTIME,ExpiringFirst,,2025-01-01T20:00:00.000+0000,,,QB-QTY-CMT;UR-CPUTIME,QB-QTY-CMT,UR-CPUTIME,1000,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Commit,m,TIME,QB-CPU-BLNG,1,Month
QB-DATA-STORAGE-BLNG;DATAVOL;TB;QB-CMT-TKN-TIER;UR-DATASTORAGE,ExpiringFirst,,2025-01-01T20:00:00.000+0000,QB-DB-COMMIT-PUG,,QB-CMT-TKN-TIER;UR-DATASTORAGE,QB-CMT-TKN-TIER,UR-DATASTORAGE,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Grant,TB,DATAVOL,QB-DATA-STORAGE-BLNG,1,Month
QB-DATA-STORAGE-BLNG;DATAVOL;TB;QB-CMT-TKN-FLAT;UR-DATASTORAGE,ExpiringFirst,,2025-01-01T20:00:00.000+0000,QB-DB-COMMIT-PUG,,QB-CMT-TKN-FLAT;UR-DATASTORAGE,QB-CMT-TKN-FLAT,UR-DATASTORAGE,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Grant,TB,DATAVOL,QB-DATA-STORAGE-BLNG,1,Month
QB-DATA-STORAGE-BLNG;DATAVOL;TB;QB-DB;UR-DATASTORAGE,ExpiringFirst,,2023-01-01T20:00:00.000+0000,,Yes,QB-DB;UR-DATASTORAGE,QB-DB,UR-DATASTORAGE,5,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Grant,TB,DATAVOL,QB-DATA-STORAGE-BLNG,1,Month
QB-DATA-STORAGE-BLNG;DATAVOL;TB;QB-DB-TOKEN;UR-DATASTORAGE,ExpiringFirst,,2025-01-01T20:00:00.000+0000,QuantumDB - DB Storage PUG,Yes,QB-DB-TOKEN;UR-DATASTORAGE,QB-DB-TOKEN,UR-DATASTORAGE,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Grant,TB,DATAVOL,QB-DATA-STORAGE-BLNG,1,Month
QB-DATA-STORAGE-BLNG;DATAVOL;TB;QB-CMT-TKN-EACH;UR-DATASTORAGE,ExpiringFirst,,2025-01-01T20:00:00.000+0000,QB-DB-COMMIT-PUG,,QB-CMT-TKN-EACH;UR-DATASTORAGE,QB-CMT-TKN-EACH,UR-DATASTORAGE,10,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Grant,TB,DATAVOL,QB-DATA-STORAGE-BLNG,1,Month
