BasedOn.Code,CanRamp,ConfigureDuringSale,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.UnitCode
PC-KLD-PATHWAY,false,Allowed,Matter pathway: Nebula Early Case Assessment through Nebula Review hosting.,,Bundle,true,true,false,Nebula ECA to Nebula Review,KLD-PATH-NEB-NEB,,,KLD-PATH-NEB-NEB,Bundle,
PC-KLD-PATHWAY,false,Allowed,Matter pathway: Nebula ECA with promotion to RelativityOne Review.,,Bundle,true,true,false,Nebula ECA to RelOne,KLD-PATH-NEB-R1,,,KLD-PATH-NEB-R1,Bundle,
PC-KLD-PATHWAY,false,Allowed,Matter pathway: RelativityOne ECA through RelOne Review hosting.,,Bundle,true,true,false,RelOne ECA to RelOne,KLD-PATH-R1-R1,,,KLD-PATH-R1-R1,Bundle,
PC-KLD-SETUP,false,,Per-GB transactional matter setup fee.,,Services,true,true,false,Transactional Matter Set Up Fee,KLD-SETUP-MATTER-GB,GB,,KLD-SETUP-MATTER-GB,,GB
PC-KLD-HOST,false,,One-time per GB fee for project staging.,,Services,true,true,false,Staging,KLD-STAGING,GB,,KLD-STAGING,,GB
PC-KLD-HOST,false,,Nebula Processing/ECA repository hosting. Supports up to 10 concurrent users.,,Software,true,true,false,Nebula ECA Hosting,KLD-NEB-ECA-HOST,,,KLD-NEB-ECA-HOST,,GB-MO
PC-KLD-HOST,false,,"Promotion, hosting, and analytics for data promoted to active Nebula Review.",,Software,true,true,false,Nebula Review,KLD-NEB-REVIEW,,,KLD-NEB-REVIEW,,GB-MO
PC-KLD-HOST,false,,RelativityOne Early Case Assessment repository hosting.,,Software,true,true,false,RelOne ECA Hosting,KLD-R1-ECA-HOST,,,KLD-R1-ECA-HOST,,GB-MO
PC-KLD-HOST,false,,RelativityOne review hosting for promoted active review data.,,Software,true,true,false,RelOne Review,KLD-R1-REVIEW,,,KLD-R1-REVIEW,,GB-MO
PC-KLD-FORENS,false,,"On-site forensic collection of computers, servers, mobile, and external devices.",,Services,true,true,false,Forensic Data Collection,KLD-FOR-COLL,h,,KLD-FOR-COLL,,h
PC-KLD-FORENS,false,,"Remote/in-lab forensic collection including O365, social media, and webmail sources.",,Services,true,true,false,Remote Forensic Data Collection,KLD-FOR-RCOLL,h,,KLD-FOR-RCOLL,,h
PC-KLD-FORENS,false,,Onsite downtime caused by the client during forensic collection.,,Services,true,true,false,Forensic Data Collection - Downtime,KLD-FOR-DOWNTIME,h,,KLD-FOR-DOWNTIME,,h
