Id,Name
01tWt000009JQYOIA4,1TB 7.2k RPM NLSAS
01tWt000009JQYPIA4,4TB 7.2k RPM NLSAS
01tWt000009JQYQIA4,8TB 7.2k RPM NLSAS
01tWt000009JQYWIA4,16GB RDIMM
01tWt000009JQYXIA4,32GB RDIMM
01tWt000009JQYYIA4,8GB RDIMM
01tWt000009KMaHIAW,QB-CacheBoost 150
01tWt000009KMaIIAW,QB CPU Heat Sink
01tWt000009KMaJIAW,1TB 10k RPM (2.5in)
01tWt000009KMaKIAW,20TB 7.2k RPM NLSAS (3.5in)
01tWt000009KMaLIAW,3TB 10k RPM (2.5in)
01tWt000009KMaMIAW,"Intel Xeon Gold 5318N 2.1GHz, 24C/48T"
01tWt000009KMaNIAW,"Intel Xeon Gold 6330N 2.2GHz, 28C/56T"
01tWt000009KMaOIAW,"Intel Xeon Gold 6354 3GHz, 18C/36T"
01tWt000009KMaPIAW,"Intel Xeon Platinum 8352M 2.3GHz, 32C/64T"
01tWt000009KMaQIAW,"Intel Xeon Platinum 8352Y 2.2GHz, 32C/64T"
01tWt000009KMaRIAW,"Intel Xeon Platinum 8360Y 2.4GHz, 36C/72T"
01tWt000009KMaSIAW,"Intel Xeon Platinum 8368 2.4GHz, 38C/76T"
01tWt000009KMaTIAW,QB Liquid Cooler
01tWt000009KMaUIAW,128GB LRDIMM
01tWt000009KMaVIAW,64GB RDIMM
01tWt000009KMaWIAW,QB-NetLink 100G Ultra
01tWt000009KMaXIAW,QB-NetLink 10G
01tWt000009KMaYIAW,QB-NetLink 25G
01tWt000009KMaZIAW,QB-NetSecure 10G
01tWt000009KMaaIAG,QB-Accel NovaX150
01tWt000009KMabIAG,QB-NVExpand 200
01tWt000009KMacIAG,QB-PowerCore 1600S
01tWt000009KMadIAG,QB-PowerCore 500S
01tWt000009KMaeIAG,QB-PowerCore 800S
01tWt000009KMafIAG,QB-PowerSafe 1000D
01tWt000009KMagIAG,QB-PowerSafe 2000D
01tWt000009KMahIAG,QB-PowerSafe 600D
01tWt000009KMaiIAG,QuantumBit Q-Rack 750
01tWt000009KMajIAG,QB-RAIDForce 500
01tWt000009KMakIAG,Q-Drive NVX 16TB
01tWt000009KMalIAG,Q-Drive NVX 2TB
01tWt000009KMamIAG,Q-Drive NVX Ultra 30TB
01tWt000009KManIAG,Q-Drive NVX 4TB
01tWt000009KMaoIAG,Q-Drive NVX 8TB
01tWt000009KMapIAG,QB-Accel VegaX200
