BasedOn.Code,CanRamp,ConfigureDuringSale,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.UnitCode
,false,,Default shipping product to calculate standard shipping charges.,/resource/RLM_quantumBit_logo_sq,,true,true,false,Shipping Charge Product,,,,9999999,,
,false,Allowed,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,Finance Service,QB-AEH-BILL,,,QB-AEH-BILL,,
,false,Allowed,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,Provisioning and Activation Service,QB-AEH-CPU,,,QB-AEH-CPU,,
,false,Allowed,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,AEH Environment Runtime,QB-AEH-ENV,,,QB-AEH-ENV,,
,false,Allowed,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,AEH Object Store - Restricted Use,QB-AEH-OBJ,,,QB-AEH-OBJ,,
,false,Allowed,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,Order Processing,QB-AEH-OR,,,QB-AEH-OR,,
PC-QB-API,true,Allowed,,/resource/add_api,Software,true,true,false,Additional API,QB-API,,,QB-API,,
,false,,,/resource/RLM_quantumBit_logo_sq,None,true,true,false,API Calls,QB-API-CALLS,Each,,QB-API-CALLS,,
,false,,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,/resource/api_flex,Software,true,true,false,Additional API Flex (100M),QB-API-FLEX,,,QB-API-FLEX,,
,false,,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,/resource/api_govt,Software,true,true,false,Additional API Gov,QB-API-GOVT,,,QB-API-GOVT,,
,false,,Increase productivity by managing all your APIs and microservices from one place.,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,QB API Management Solution,QB-API-MGMT,,,QB-API-MGMT,,
